번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g),년도
1,곡류 및 그 제품,"고량미,고량미, 알곡",100,349,67.8,10.1,3.7,0,N/A,0,0,0,2001
2,곡류 및 그 제품,"과자,스넥과자, 유아용과자",30,129.9,20.13,3.54,3.96,0,57.6,0,0,0,2006
3,곡류 및 그 제품,"귀리 가공(기타), 오트밀 ",100,382,64.9,13.2,8.2,0,4,0,0,0,2011
4,곡류 및 그 제품,"귀리 가공(기타), 오트밀 ",100,348,64.9,13.2,8.2,N/A,4,N/A,N/A,0,2017
5,곡류 및 그 제품,"귀리(겉귀리), 도정곡, 생것",100,373,73.5,11.4,3.7,0,2,0,0,0,2011
6,곡류 및 그 제품,"귀리(겉귀리), 도정곡, 생것",100,332,73.5,11.4,3.7,N/A,2,N/A,N/A,0,2017
7,곡류 및 그 제품,"귀리(쌀귀리),  도정곡, 생것",100,371,70.4,14.3,3.8,0,3,0,0,0,2011
8,곡류 및 그 제품,"귀리(쌀귀리),  도정곡, 생것",100,334,70.4,14.3,3.8,N/A,3,N/A,N/A,0,2017
9,곡류 및 그 제품,"기장, 도정곡, 생것",100,367,74.6,11.2,1.9,0,6,0,0,0,2011
10,곡류 및 그 제품,"기장, 도정곡, 생것",100,360,74.6,11.2,1.9,N/A,6,N/A,N/A,0,2017
11,곡류 및 그 제품,"냄비우동, 냉동 ",100,206,43.9,6,0.7,0,N/A,0,0,0,2011
12,곡류 및 그 제품,"녹두 가공(면류), 녹두국수 ",100,345,84.6,0.2,0.4,0,11,0,0,0,2011
13,곡류 및 그 제품,"녹두 가공(면류), 녹두국수 ",100,356,87.5,0.2,0.4,0,14,0,N/A,0,2017
14,곡류 및 그 제품,"대두 가공(과자류), 엿강정 ",30,135.3,11.73,11.31,4.8,0,1.5,0,0,0,2011
15,곡류 및 그 제품,"도토리 가공(면류), 국수, 마른것 ",100,345,72.2,12.4,0.7,0,517,0,0,0,2011
16,곡류 및 그 제품,"도토리 가공(면류), 국수, 마른것 ",100,307,72.2,12.4,0.7,N/A,517,N/A,N/A,0,2017
17,곡류 및 그 제품,"들깨 가공(과자류), 엿강정 ",30,161.4,14.67,3.96,9.66,0,1.2,0,0,0,2011
18,곡류 및 그 제품,"땅콩 가공(과자류), 엿강정 ",30,173.4,10.17,6.42,11.88,0,0.9,0,0,0,2011
19,곡류 및 그 제품,"라면, 스프포함, 조리 ",100,103,18.5,2.2,2,0,388,0,0,0,2011
20,곡류 및 그 제품,"라면, 스프포함, 조리 ",100,101,18.5,2.2,2,N/A,388,N/A,N/A,0,2017
21,곡류 및 그 제품,"라면,봉지면, 진라면, 매운맛(오뚜기)",100,421,65,8.3,14.2,0,1933,0,0,0,2006
22,곡류 및 그 제품,"라면,봉지면, 진라면, 매운맛(오뚜기)",100,369,78.69,8.59,2.22,0,1338,0,1.44,0,2017
23,곡류 및 그 제품,"만두, 고기만두, 냉동 ",100,214,0.3,9.6,10.4,0,272,0,0,0,2006
24,곡류 및 그 제품,"만두, 고기만두, 냉동 ",100,208,27.79,9.38,6.58,0.49,261,7.35,2.41,0,2017
25,곡류 및 그 제품,"만두, 김치만두, 냉동 ",100,190,21.7,6.6,8.5,0,415,0,0,0,2011
26,곡류 및 그 제품,"만두, 김치만두, 냉동 ",100,187,23.82,8.13,6.59,0.67,423,7.68,2.37,0,2017
27,곡류 및 그 제품,"메밀 가공(가루), 메밀가루 ",100,364,69.6,13.4,2.8,0,27,0,0,0,2011
28,곡류 및 그 제품,"메밀 가공(가루), 메밀가루 ",100,355,71.36,12.96,3.29,0.37,1,0,0.7,0,2017
29,곡류 및 그 제품,"메밀 가공(면류), 메밀국수, 건면 ",100,344,66.7,14,2.3,0,850,0,0,0,2011
30,곡류 및 그 제품,"메밀 가공(면류), 메밀국수, 건면 ",100,352,74.41,13.58,1.27,2.77,707,0,0.38,0,2017
31,곡류 및 그 제품,"메밀 가공(면류), 메밀국수, 건면, 삶은것 ",100,114,22.1,4.8,0.7,0,50,0,0,0,2011
32,곡류 및 그 제품,"메밀 가공(면류), 메밀국수, 건면, 삶은것 ",100,108,22.65,4.28,0.4,0,35,0,0.12,0,2017
33,곡류 및 그 제품,"메밀 가공(면류), 메밀국수, 생면 ",100,276,61.4,7.3,0.1,0,1023,0,0,0,2011
34,곡류 및 그 제품,"메밀 가공(면류), 메밀국수, 생면 ",100,274,61.14,7.59,0.96,0,455,0,0.27,0,2017
35,곡류 및 그 제품,"메밀 가공(면류), 메밀국수, 생면, 삶은것 ",100,142,28.7,6.6,0.1,0,183,0,0,0,2011
36,곡류 및 그 제품,"메밀 가공(면류), 메밀국수, 생면, 삶은것 ",100,117,25.73,3.54,0.44,0,38,0,0.13,0,2017
37,곡류 및 그 제품,"메밀 가공(면류), 메밀냉면, 인스턴트, 마른것 ",100,352,74.3,10.5,1.4,0,398,0,0,0,2011
38,곡류 및 그 제품,"메밀 가공(면류), 메밀냉면, 인스턴트, 마른것 ",100,339,73.66,10.74,1.44,0,628,0,0.34,0,2017
39,곡류 및 그 제품,"메밀, 도정곡, 생것 ",100,374,74.7,11.5,2.3,0,14,0,0.59,0,2011
40,곡류 및 그 제품,"메밀, 도정곡, 생것 ",100,345,67.84,13.64,3.38,0.5,1,0,0.71,0,2017
41,곡류 및 그 제품,"멥쌀 가공(가루), 백미가루 ",100,362,78.5,6.2,0.9,0,2,0,0,0,2011
42,곡류 및 그 제품,"멥쌀 가공(가루), 백미가루 ",100,362,78.5,6.2,0.9,0.1,2,0,-0.29,0,2017
43,곡류 및 그 제품,"멥쌀 가공(가루), 현미가루 ",40,151.6,32.16,2.96,1.04,0,2.4,0,0,0,2011
44,곡류 및 그 제품,"멥쌀 가공(과자류), 쌀과자 ",100,474,78.2,3.2,15.9,0,224,0,0,0,2011
45,곡류 및 그 제품,"멥쌀 가공(과자류), 쌀과자 ",100,469,78.2,3.2,15.9,N/A,224,N/A,N/A,0,2017
46,곡류 및 그 제품,"멥쌀 가공(과자류), 쌀엿강정 ",100,383,90.1,3.8,0.8,0,95,0,0,0,2011
47,곡류 및 그 제품,"멥쌀 가공(과자류), 쌀엿강정 ",100,395,89.96,4.11,2.13,35.58,4,0,1.12,0,2017
48,곡류 및 그 제품,"멥쌀 가공(과자류), 튀김쌀과자 ",30,139.5,21.36,1.71,5.25,0,147,0,0,0,2011
49,곡류 및 그 제품,"멥쌀 가공(과자류), 튀밥 ",100,406,80.7,8.7,3.9,0,74,0,0,0,2011
50,곡류 및 그 제품,"멥쌀 가공(과자류), 튀밥 ",100,393,80.7,8.7,3.9,N/A,74,N/A,N/A,0,2017
51,곡류 및 그 제품,"멥쌀 가공(떡류), 가래떡 ",100,217,47.5,3.8,0.3,0,257,0,0,0,2011
52,곡류 및 그 제품,"멥쌀 가공(떡류), 가래떡 ",100,213,48.8,3.71,0.37,0.09,261,0,0.16,0,2017
53,곡류 및 그 제품,"멥쌀 가공(떡류), 가래떡, 흑미가래떡 ",100,209,47.8,3.5,0,0,226,0,0,0,2011
54,곡류 및 그 제품,"멥쌀 가공(떡류), 가래떡, 흑미가래떡 ",100,205,47.8,3.5,0,N/A,226,N/A,N/A,0,2017
55,곡류 및 그 제품,"멥쌀 가공(떡류), 개피떡 ",100,207,45.6,4.3,0.8,0,155,0,0,0,2011
56,곡류 및 그 제품,"멥쌀 가공(떡류), 개피떡 ",100,207,45.6,4.3,0.8,N/A,155,N/A,N/A,0,2017
57,곡류 및 그 제품,"멥쌀 가공(떡류), 개피떡, 쑥개피떡 ",100,208,45.2,4.5,0.8,0,157,0,0,0,2006
58,곡류 및 그 제품,"멥쌀 가공(떡류), 개피떡, 쑥개피떡 ",100,206,45.2,4.5,0.8,N/A,157,N/A,N/A,0,2017
59,곡류 및 그 제품,"멥쌀 가공(떡류), 꿀떡 ",100,215,47.4,3.3,0.4,0,359,0,0,0,2006
60,곡류 및 그 제품,"멥쌀 가공(떡류), 꿀떡 ",100,210,46.14,3.09,1.46,7.39,248,0,0.28,0,2017
61,곡류 및 그 제품,"멥쌀 가공(떡류), 무지개떡 ",100,229,53,3.5,0.3,0,277,0,0,0,2011
62,곡류 및 그 제품,"멥쌀 가공(떡류), 무지개떡 ",100,229,53,3.5,0.3,N/A,277,N/A,N/A,0,2017
63,곡류 및 그 제품,"멥쌀 가공(떡류), 백설기 ",100,234,51.9,3.5,0.8,0,234,0,0,0,2006
64,곡류 및 그 제품,"멥쌀 가공(떡류), 백설기 ",100,228,52.5,3.6,0.4,N/A,289,N/A,N/A,0,2017
65,곡류 및 그 제품,"멥쌀 가공(떡류), 송편, 검정콩 ",100,200,41.2,6.9,0.8,0,463,0,0,0,2011
66,곡류 및 그 제품,"멥쌀 가공(떡류), 송편, 검정콩 ",100,200,41.2,6.9,0.8,N/A,463,N/A,N/A,0,2017
67,곡류 및 그 제품,"멥쌀 가공(떡류), 송편, 깨 ",100,212,45.6,3.5,1.4,0,215,0,0,0,2006
68,곡류 및 그 제품,"멥쌀 가공(떡류), 송편, 깨 ",100,224,44.01,5.9,2.74,6.44,173,0,0.52,0,2017
69,곡류 및 그 제품,"멥쌀 가공(떡류), 송편, 팥 ",100,200,43.6,5.4,0.4,0,466,0,0,0,2011
70,곡류 및 그 제품,"멥쌀 가공(떡류), 송편, 팥 ",100,200,43.6,5.4,0.4,N/A,466,N/A,N/A,0,2017
71,곡류 및 그 제품,"멥쌀 가공(떡류), 시루떡 ",100,217,47.5,5.5,0.6,0,278,0,0,0,2011
72,곡류 및 그 제품,"멥쌀 가공(떡류), 시루떡 ",100,183,38.94,5.83,0.41,0.94,233,0,0.16,0,2017
73,곡류 및 그 제품,"멥쌀 가공(떡류), 쑥설기 ",100,242,55.6,4.3,0.3,0,33,0,0,0,2011
74,곡류 및 그 제품,"멥쌀 가공(떡류), 절편 ",100,220,43.8,4.4,0.8,0,185,0,0,0,2006
75,곡류 및 그 제품,"멥쌀 가공(떡류), 절편 ",100,215,49.04,3.69,0.49,0.1,220,0,0.19,0,2017
76,곡류 및 그 제품,"멥쌀 가공(떡류), 증편 ",100,177,37.8,3.9,0.9,0,243,0,0,0,2006
77,곡류 및 그 제품,"멥쌀 가공(떡류), 증편 ",100,198,45.23,2.99,0.57,8.95,289,0,0.15,0,2017
78,곡류 및 그 제품,"멥쌀 가공(면류), 쌀국수, 건면",100,354,72.6,9.1,1.5,0,1964,0,0,0,2011
79,곡류 및 그 제품,"멥쌀 가공(면류), 쌀국수, 건면",100,340,72.6,9.1,1.5,N/A,1964,N/A,N/A,0,2017
80,곡류 및 그 제품,"멥쌀 가공(밥죽류), 누룽지",100,393,86.8,6.8,0.2,0,6,0,0,0,2011
81,곡류 및 그 제품,"멥쌀 가공(밥죽류), 누룽지",100,374,86.8,6.8,0.2,N/A,6,N/A,N/A,0,2017
82,곡류 및 그 제품,"멥쌀 가공(밥죽류), 백미, 미음 ",100,21,4.7,0.3,0,0,trace,0,0,0,2011
83,곡류 및 그 제품,"멥쌀 가공(밥죽류), 백미, 미음 ",100,21,4.7,0.3,0,0,0,0,0,0,2017
84,곡류 및 그 제품,"멥쌀 가공(밥죽류), 백미, 밥 ",100,152,33.2,3,0.1,0,3,0,0,0,2011
85,곡류 및 그 제품,"멥쌀 가공(밥죽류), 백미, 밥 ",100,145,33.2,3,0.1,N/A,3,N/A,N/A,0,2017
86,곡류 및 그 제품,"멥쌀 가공(밥죽류), 백미, 죽 ",100,71,15.6,1.4,0,0,3,0,0,0,2011
87,곡류 및 그 제품,"멥쌀 가공(밥죽류), 백미, 죽 ",100,68,15.6,1.4,0,N/A,3,N/A,N/A,0,2017
88,곡류 및 그 제품,"멥쌀 가공(밥죽류), 찐쌀, 마른것 ",100,373,83.7,5.2,0.1,0,29,0,0,0,2011
89,곡류 및 그 제품,"멥쌀 가공(밥죽류), 찐쌀, 마른것 ",100,354,83.7,5.2,0.1,N/A,29,N/A,N/A,0,2017
90,곡류 및 그 제품,"멥쌀 가공(밥죽류), 현미, 미음 ",100,20,4.4,0.4,0.1,0,trace,0,0,0,2011
91,곡류 및 그 제품,"멥쌀 가공(밥죽류), 현미, 미음 ",100,20,4.4,0.4,0.1,0.1,0,0,-0.02,0,2017
92,곡류 및 그 제품,"멥쌀 가공(밥죽류), 현미, 밥 ",100,167,37.3,3.3,0.2,0,2,0,0,0,2011
93,곡류 및 그 제품,"멥쌀 가공(밥죽류), 현미, 밥 ",100,145,37.3,3.3,0.2,N/A,2,N/A,N/A,0,2017
94,곡류 및 그 제품,"멥쌀 가공(밥죽류), 현미, 죽 ",100,70,15.2,1.2,0.4,0,1,0,0,0,2011
95,곡류 및 그 제품,"멥쌀 가공(밥죽류), 현미, 죽 ",100,70,15.2,1.2,0.4,0.4,1,0,-0.09,0,2017
96,곡류 및 그 제품,"멥쌀, 배아미, 생것 ",100,354,75.3,6.5,2,0,1,0,0,0,2011
97,곡류 및 그 제품,"멥쌀, 배아미, 생것 ",100,357,75.8,6.5,2,0.6,1,0,0.55,0,2017
98,곡류 및 그 제품,"멥쌀, 백미, 생것",100,363,79.5,6.4,0.4,0,8,0,0,0,2011
99,곡류 및 그 제품,"멥쌀, 백미, 생것",100,345,79.5,6.4,0.4,N/A,8,N/A,N/A,0,2017
100,곡류 및 그 제품,"멥쌀, 현미, 흑미, 생것 ",100,375,74.9,8.8,3.1,0,5,0,0.84,0,2011
101,곡류 및 그 제품,"멥쌀, 현미, 흑미, 생것 ",100,312,75.31,7.59,2.31,0.67,4,0,0.5,0,2017
102,곡류 및 그 제품,"밀 가공(가루), 강력밀가루, 수입산",100,364,73.4,12.7,0.5,0,32,0,0,0,2011
103,곡류 및 그 제품,"밀 가공(가루), 강력밀가루, 수입산",100,322,72.89,13.59,1.11,0,1,0,0.27,0,2017
104,곡류 및 그 제품,"밀 가공(가루), 도우넛가루 ",100,391,73.9,8.5,6.8,0,778,0,0,0,2011
105,곡류 및 그 제품,"밀 가공(가루), 도우넛가루 ",100,412,73.9,8.5,6.8,N/A,778,N/A,N/A,0,2017
106,곡류 및 그 제품,"밀 가공(가루), 박력밀가루, 수입산",100,370,77.5,8.7,0.8,0,2,0,0,0,2011
107,곡류 및 그 제품,"밀 가공(가루), 박력밀가루, 수입산",100,378,77.5,8.7,0.8,N/A,2,N/A,N/A,0,2017
108,곡류 및 그 제품,"밀 가공(가루), 부침가루 ",100,382,72,20.6,1.3,0,0,0,0,0,2011
109,곡류 및 그 제품,"밀 가공(가루), 부침가루 ",100,376,75.52,9.8,0.98,3.49,786,0,0.24,0,2017
110,곡류 및 그 제품,"밀 가공(가루), 빵가루 ",100,380,72.4,14.2,3.7,0,535,0,0,0,2011
111,곡류 및 그 제품,"밀 가공(가루), 빵가루 ",100,400,77.04,11.95,2.05,4.74,306,0,0.76,0,2017
112,곡류 및 그 제품,"밀 가공(가루), 중력밀가루 ",100,370,74.1,11.5,1.1,0,19,0,0,0,2011
113,곡류 및 그 제품,"밀 가공(가루), 중력밀가루 ",100,383,76.64,10.34,1.01,0,1,0,0.26,0,2017
114,곡류 및 그 제품,"밀 가공(가루), 케이크가루, 당근 ",40,166,31.68,2.04,3.92,0,226.8,0,0,0,2011
115,곡류 및 그 제품,"밀 가공(가루), 통밀가루 ",100,326,71.5,11.9,1.6,0,5,0,0,0,2011
116,곡류 및 그 제품,"밀 가공(가루), 통밀가루 ",100,372,71.5,11.9,1.6,N/A,5,N/A,N/A,0,2017
117,곡류 및 그 제품,"밀 가공(가루), 튀김가루 ",100,328,76.8,7.3,1.5,0,962,0,0,0,2006
118,곡류 및 그 제품,"밀 가공(가루), 튀김가루 ",100,376,78.41,7.22,0.8,0,876,0,0.22,0,2017
119,곡류 및 그 제품,"밀 가공(가루), 팬케이크가루 ",100,379,75.9,7.9,4.9,0,735,0,0,0,2011
120,곡류 및 그 제품,"밀 가공(가루), 팬케이크가루 ",100,402,75.9,7.9,4.9,N/A,735,N/A,N/A,0,2017
121,곡류 및 그 제품,"밀 가공(과자류), 건빵 ",100,415,73.8,8.7,9.4,0,464,0,0,0,2006
122,곡류 및 그 제품,"밀 가공(과자류), 건빵 ",100,419,75.37,9.92,8.67,16.84,457,0,3.68,0,2017
123,곡류 및 그 제품,"밀 가공(과자류), 만주, 밤 ",100,309,68.3,6,1.3,0,25,0,0,0,2011
124,곡류 및 그 제품,"밀 가공(과자류), 만주, 밤 ",100,330,70.86,6.35,2.39,42.45,158,0,0.86,0,2017
125,곡류 및 그 제품,"밀 가공(과자류), 모나카 ",100,335,77.2,3.3,1.4,0,69,0,0,0,2011
126,곡류 및 그 제품,"밀 가공(과자류), 모나카 ",100,346,82.62,3.35,0.29,36.58,64,0,0.08,0,2017
127,곡류 및 그 제품,"밀 가공(과자류), 비스킷, 소프트(설탕 21g) ",100,522,62.6,5.7,27.6,0,220,58,0,0,2011
128,곡류 및 그 제품,"밀 가공(과자류), 비스킷, 소프트(설탕 21g) ",100,489,60.34,5.7,24.93,23.46,227,31.02,11.98,0,2017
129,곡류 및 그 제품,"밀 가공(과자류), 비스킷, 하드(설탕 17g) ",100,432,77.8,7.6,10,0,320,10,0,0,2011
130,곡류 및 그 제품,"밀 가공(과자류), 비스킷, 하드(설탕 17g) ",100,534,62.63,6.68,28.58,9.21,481,1.59,13.97,0,2017
131,곡류 및 그 제품,"밀 가공(과자류), 사과파이(설탕 16g) ",100,304,32.7,4,17.5,0,260,0,0,0,2011
132,곡류 및 그 제품,"밀 가공(과자류), 사과파이(설탕 16g) ",100,471,64.98,5.5,21,22.83,207,0,11.38,0,2017
133,곡류 및 그 제품,"밀 가공(과자류), 센베이 ",100,398,84,7.5,3.5,0,130,0,0,0,2011
134,곡류 및 그 제품,"밀 가공(과자류), 센베이 ",100,398,84,7.5,3.5,48.1,130,110,-0.92,0,2017
135,곡류 및 그 제품,"밀 가공(과자류), 센베이, 김 ",100,423,82.8,6.7,6.9,0,150,0,0,0,2006
136,곡류 및 그 제품,"밀 가공(과자류), 센베이, 김 ",100,420,82.8,6.7,6.9,N/A,150,N/A,N/A,0,2017
137,곡류 및 그 제품,"밀 가공(과자류), 스넥, 감자 ",100,540,57.3,5.8,32,0,360,0,0,0,2011
138,곡류 및 그 제품,"밀 가공(과자류), 스넥, 감자 ",100,536,60.92,4.95,30.33,0,342,0,8.17,0,2017
139,곡류 및 그 제품,"밀 가공(과자류), 스넥, 밀가루 ",40,192.8,27.52,2.92,7.88,0,284,0,0,0,2011
140,곡류 및 그 제품,"밀 가공(과자류), 스넥, 새우 ",100,537,59.5,5.3,30.9,0,407,0,0,0,2011
141,곡류 및 그 제품,"밀 가공(과자류), 스넥, 새우 ",100,494,66.32,6.04,22.77,4,577,0,6.77,0,2017
142,곡류 및 그 제품,"밀 가공(과자류), 스넥, 옥수수 ",100,526,65.3,5.2,27.1,0,470,0,0,0,2011
143,곡류 및 그 제품,"밀 가공(과자류), 스넥, 옥수수 ",100,520,65.73,5.25,26.27,2.01,420,0,7.64,0,2017
144,곡류 및 그 제품,"밀 가공(과자류), 약과 ",100,422,71.7,3.8,13.3,0,34,0,0,0,2011
145,곡류 및 그 제품,"밀 가공(과자류), 약과 ",100,422,71.7,3.8,13.3,N/A,34,N/A,N/A,0,2017
146,곡류 및 그 제품,"밀 가공(과자류), 와플(설탕 11g) ",100,291,32.9,7.9,14.1,0,511,69,0,0,2011
147,곡류 및 그 제품,"밀 가공(과자류), 와플(설탕 11g) ",100,291,32.9,7.9,14.1,N/A,511,69,2.87,0,2017
148,곡류 및 그 제품,"밀 가공(과자류), 와플, 잼(설탕 11g) ",100,237,49.4,3.4,2.9,0,37,0,0,0,2011
149,곡류 및 그 제품,"밀 가공(과자류), 와플, 잼(설탕 11g) ",100,287,57.3,4.8,4.2,36.4,51,59,-1.55,0,2017
150,곡류 및 그 제품,"밀 가공(과자류), 와플, 커스터드크림(설탕 11g) ",100,256,36,8.3,8.8,0,90,0,0,0,2011
151,곡류 및 그 제품,"밀 가공(과자류), 와플, 커스터드크림(설탕 11g) ",100,252,38.1,7.3,7.9,15.1,65,170,-2.63,0,2017
152,곡류 및 그 제품,"밀 가공(과자류), 웨하스, 바닐라 ",100,521,65.6,4.1,26.9,0,131,5.5,0,0,2011
153,곡류 및 그 제품,"밀 가공(과자류), 웨하스, 바닐라 ",100,521,65.6,4.1,26.9,N/A,131,N/A,N/A,0,2017
154,곡류 및 그 제품,"밀 가공(과자류), 초코볼 ",100,501,70.2,4.3,22.5,0,54,0,0,0,2011
155,곡류 및 그 제품,"밀 가공(과자류), 초코볼 ",100,501,70.2,4.3,22.5,N/A,54,N/A,N/A,0,2017
156,곡류 및 그 제품,"밀 가공(과자류), 초코파이 ",100,441,63.6,4.4,18.8,0,209,0,0,0,2011
157,곡류 및 그 제품,"밀 가공(과자류), 초코파이 ",100,428,67.59,4.29,15.57,31.18,224,0,9.51,0,2017
158,곡류 및 그 제품,"밀 가공(과자류), 쿠키, 땅콩버터 ",100,476,58.9,9.6,23.6,0,415,0,0,0,2011
159,곡류 및 그 제품,"밀 가공(과자류), 쿠키, 땅콩버터 ",100,493,67.97,8.36,20.87,22.42,346,6.84,9.97,0,2017
160,곡류 및 그 제품,"밀 가공(과자류), 쿠키, 버터 ",100,467,68.9,6.1,18.8,0,239,0,0,0,2011
161,곡류 및 그 제품,"밀 가공(과자류), 쿠키, 버터 ",100,512,66.47,6.37,24.52,16.45,226,25.86,13.4,0,2017
162,곡류 및 그 제품,"밀 가공(과자류), 쿠키, 초코칩 ",100,526,64.7,5,27.5,0,207,0,0,0,2011
163,곡류 및 그 제품,"밀 가공(과자류), 쿠키, 초코칩 ",100,494,71.38,5.92,20.55,23.18,312,13.38,11.21,0,2017
164,곡류 및 그 제품,"밀 가공(과자류), 크랙커 ",100,513,58.8,7,27.8,0,634,0,0,0,2011
165,곡류 및 그 제품,"밀 가공(과자류), 크랙커 ",100,513,58.8,7,27.8,N/A,634,N/A,N/A,0,2017
166,곡류 및 그 제품,"밀 가공(과자류), 크랙커, 땅콩샌드 ",100,496,56.7,12.4,25.1,0,710,0,0,0,2011
167,곡류 및 그 제품,"밀 가공(과자류), 크랙커, 땅콩샌드 ",100,524,64.23,7.66,26.24,14.64,195,0,12.99,0,2017
168,곡류 및 그 제품,"밀 가공(과자류), 크랙커, 치즈샌드 ",100,490,58.8,8.9,24.4,0,878,0,0,0,2011
169,곡류 및 그 제품,"밀 가공(과자류), 크랙커, 치즈샌드 ",100,497,68.24,6.08,22.23,14.69,539,0,13.24,0,2017
170,곡류 및 그 제품,"밀 가공(과자류), 피칸파이 ",100,345,43.2,8,17.2,0,90,0,0,0,2006
171,곡류 및 그 제품,"밀 가공(과자류), 피칸파이 ",100,360,43.2,8,17.2,N/A,90,N/A,N/A,0,2017
172,곡류 및 그 제품,"밀 가공(면류), 국수, 건면",100,374,78.4,10.6,0.2,0,2197,0,0,0,2011
173,곡류 및 그 제품,"밀 가공(면류), 국수, 건면",100,374,74,10.31,1.3,6.42,1372,0,0.35,0,2017
174,곡류 및 그 제품,"밀 가공(면류), 국수, 건면, 삶은것 ",100,124,24.3,4.6,0.4,0,N/A,0,0,0,2011
175,곡류 및 그 제품,"밀 가공(면류), 국수, 건면, 삶은것 ",100,126,24.87,3.49,0.41,0,115,0,0.12,0,2017
176,곡류 및 그 제품,"밀 가공(면류), 라면, 건면",100,445,71.2,7.5,13.9,0,506,0,0,0,2011
177,곡류 및 그 제품,"밀 가공(면류), 라면, 건면",100,452,69.05,8.23,14.28,0,437,0,6.68,0,2017
178,곡류 및 그 제품,"밀 가공(면류), 마카로니, 건면 ",100,380,77.1,12.2,0.4,0,2,0,0,0,2011
179,곡류 및 그 제품,"밀 가공(면류), 마카로니, 건면 ",100,388,77.1,12.2,0.4,N/A,2,N/A,N/A,0,2017
180,곡류 및 그 제품,"밀 가공(면류), 마카로니, 건면, 삶은것 ",100,126,25.8,3.8,0.2,0,5,0,0,0,2011
181,곡류 및 그 제품,"밀 가공(면류), 마카로니, 건면, 삶은것 ",100,129,25.8,3.8,0.2,N/A,5,N/A,N/A,0,2017
182,곡류 및 그 제품,"밀 가공(면류), 소면, 건면",100,358,76.1,8.9,0.3,0,1318,0,0,0,2011
183,곡류 및 그 제품,"밀 가공(면류), 소면, 건면",100,378,74.86,10.36,1.27,1.93,1274,0,0.34,0,2017
184,곡류 및 그 제품,"밀 가공(면류), 소면, 건면, 삶은것 ",100,137,29,3.2,0.2,0,107,0,0,0,2011
185,곡류 및 그 제품,"밀 가공(면류), 소면, 건면, 삶은것 ",100,128,25.31,3.55,0.48,0,68,0,0.14,0,2017
186,곡류 및 그 제품,"밀 가공(면류), 스파게티, 건면",100,363,74.6,11.2,0.2,0,19,0,0,0,2011
187,곡류 및 그 제품,"밀 가공(면류), 스파게티, 건면",100,365,76.64,11.78,1.28,1.39,2,0,0.34,0,2017
188,곡류 및 그 제품,"밀 가공(면류), 스파게티, 건면, 삶은것 ",100,129,26.9,3.8,0,0,7,0,0,0,2011
189,곡류 및 그 제품,"밀 가공(면류), 스파게티, 건면, 삶은것 ",100,132,26.9,3.8,0,N/A,7,N/A,N/A,0,2017
190,곡류 및 그 제품,"밀 가공(면류), 우동, 생면 ",100,154,32,3.8,0.4,0,167,0,0,0,2011
191,곡류 및 그 제품,"밀 가공(면류), 우동, 생면 ",100,167,33.09,3.33,1.25,0,142,0,0.33,0,2017
192,곡류 및 그 제품,"밀 가공(면류), 우동, 생면, 삶은것 ",100,123,25.9,3.2,0.1,0,64,0,0,0,2011
193,곡류 및 그 제품,"밀 가공(면류), 우동, 생면, 삶은것 ",100,142,29.12,2.95,0.46,0,78,0,0.13,0,2017
194,곡류 및 그 제품,"밀 가공(면류), 중국국수, 건면",100,365,73,10.5,1.6,0,500,0,0,0,2011
195,곡류 및 그 제품,"밀 가공(면류), 중국국수, 건면",100,356,67.1,10.3,5.2,0.9,2700,2,1.26,0,2017
196,곡류 및 그 제품,"밀 가공(면류), 중국국수, 건면, 삶은것 ",100,140,28.1,4.1,0.5,0,75,0,0,0,2011
197,곡류 및 그 제품,"밀 가공(면류), 중국국수, 건면, 삶은것 ",100,148,28.6,5.2,0.6,0.1,200,0,-0.14,0,2017
198,곡류 및 그 제품,"밀 가공(면류), 중국국수, 생면",100,281,55.7,8.6,1.2,0,410,0,0,0,2011
199,곡류 및 그 제품,"밀 가공(면류), 중국국수, 생면",100,281,55.7,8.6,1.2,1,410,0,-0.28,0,2017
200,곡류 및 그 제품,"밀 가공(면류), 중국국수, 생면, 삶은것 ",100,149,29.2,4.9,0.6,0,70,0,0,0,2011
201,곡류 및 그 제품,"밀 가공(면류), 중국국수, 생면, 삶은것 ",100,149,29.2,4.9,0.6,0.1,70,0,-0.14,0,2017
202,곡류 및 그 제품,"밀 가공(면류), 중국국수, 증숙면",100,198,38.4,5.3,1.7,0,170,0,0,0,2011
203,곡류 및 그 제품,"밀 가공(면류), 중국국수, 증숙면",100,198,38.4,5.3,1.7,0.7,170,0,-0.39,0,2017
204,곡류 및 그 제품,"밀 가공(면류), 쫄면, 건면",100,269,56.1,6.6,0.8,0,0,0,0,0,2011
205,곡류 및 그 제품,"밀 가공(면류), 쫄면, 건면",100,355,71.29,9.16,1.08,4.5,1697,0,0.3,0,2017
206,곡류 및 그 제품,"밀 가공(면류), 칼국수, 반건면",100,251,57.5,6.4,1.4,0,1768,0,0,0,2006
207,곡류 및 그 제품,"밀 가공(면류), 칼국수, 반건면",100,287,57.5,6.4,1.4,N/A,1768,N/A,N/A,0,2017
208,곡류 및 그 제품,"밀 가공(면류), 칼국수, 생면",100,132,29.6,3.5,1,0,886,0,0,0,2006
